Emote Name,Image URL
MyAvatar,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_c0c9c932c82244ff920ad2134be90afb/default/dark/3.0
PizzaTime,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_f202746ed88f4e7c872b50b1f7fd78cc/default/dark/3.0
LaundryBasket,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_ecb0bfd49b3c4325864b948d46c8152b/default/dark/3.0
ModLove,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a2dfbbbbf66f4a75b0f53db841523e6c/default/dark/3.0
PotFriend,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_e02650251d204198923de93a0c62f5f5/default/dark/3.0
Jebasted,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_031bf329c21040a897d55ef471da3dd3/default/dark/3.0
PogBones,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_30050f4353aa4322b25b6b044703e5d1/default/dark/3.0
PoroSad,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4c39207000564711868f3196cc0a8748/default/dark/3.0
KEKHeim,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_7c5d25facc384c47963d25a5057a0b40/default/dark/3.0
CaitlynS,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_4acac638cffb4db49f376059f7077dae/default/dark/3.0
HarleyWink,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_8b0ac3eee4274a75868e3d0686d7b6f7/default/dark/3.0
WhySoSerious,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_1fda4a1b40094c93af334f8b60868a7c/default/dark/3.0
DarkKnight,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_d9567e500d78441793bee538dcabc1da/default/dark/3.0
FamilyMan,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_89f3f0761c7b4f708061e9e4be3b7d17/default/dark/3.0
RyuChamp,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_0ebc590ba68447269831af61d8bc9e0d/default/dark/3.0
HungryPaimon,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_535e40afa0b34a9481997627b1b47d96/default/dark/3.0
TransgenderPride,https://static-cdn.jtvnw.net/emoticons/v2/307827377/default/dark/3.0
PansexualPride,https://static-cdn.jtvnw.net/emoticons/v2/307827370/default/dark/3.0
NonbinaryPride,https://static-cdn.jtvnw.net/emoticons/v2/307827356/default/dark/3.0
LesbianPride,https://static-cdn.jtvnw.net/emoticons/v2/307827340/default/dark/3.0
IntersexPride,https://static-cdn.jtvnw.net/emoticons/v2/307827332/default/dark/3.0
GenderFluidPride,https://static-cdn.jtvnw.net/emoticons/v2/307827326/default/dark/3.0
GayPride,https://static-cdn.jtvnw.net/emoticons/v2/307827321/default/dark/3.0
BisexualPride,https://static-cdn.jtvnw.net/emoticons/v2/307827313/default/dark/3.0
AsexualPride,https://static-cdn.jtvnw.net/emoticons/v2/307827267/default/dark/3.0
PogChamp,https://static-cdn.jtvnw.net/emoticons/v2/305954156/default/dark/3.0
GlitchNRG,https://static-cdn.jtvnw.net/emoticons/v2/304489309/default/dark/3.0
