Emote,ID,Image URL
LETHIMCOOK,01GN5QQ1X8000C0QTR0C8JV0GR,https://cdn.7tv.app/emote/01GN5QQ1X8000C0QTR0C8JV0GR/4x.webp
YAPPP,01F6R5MDT80002DD7BEAV9B6ZJ,https://cdn.7tv.app/emote/01F6R5MDT80002DD7BEAV9B6ZJ/4x.webp
siksiksik,01HS3RVM10000E6CRVZHEARWB3,https://cdn.7tv.app/emote/01HS3RVM10000E6CRVZHEARWB3/4x.webp
garsiau,01FWQP6TRR000CQSRGGBNYAH42,https://cdn.7tv.app/emote/01FWQP6TRR000CQSRGGBNYAH42/4x.webp
Prayge,01F6NACCD80006SZ7ZW5FMWKWK,https://cdn.7tv.app/emote/01F6NACCD80006SZ7ZW5FMWKWK/4x.webp
SUSSY,01F8G9MDAR0009YQPYZYCKHYKQ,https://cdn.7tv.app/emote/01F8G9MDAR0009YQPYZYCKHYKQ/4x.webp
LETSGO,01F6RD7B88000B4N55W5NS55R7,https://cdn.7tv.app/emote/01F6RD7B88000B4N55W5NS55R7/4x.webp
LOL,01FZ975PV8000B4AWRZNMVNEXN,https://cdn.7tv.app/emote/01FZ975PV8000B4AWRZNMVNEXN/4x.webp
kastuvas,01HZC7G1W00002X9JFJVAG74QV,https://cdn.7tv.app/emote/01HZC7G1W00002X9JFJVAG74QV/4x.webp
sushisStare,01J8NG7B2G0001SY9P44WA40NA,https://cdn.7tv.app/emote/01J8NG7B2G0001SY9P44WA40NA/4x.webp
GAGAGA,01H96150H00003CY09NFH3G999,https://cdn.7tv.app/emote/01H96150H00003CY09NFH3G999/4x.webp
Thinking,01EZT9WTYR0002GHH6006GD23G,https://cdn.7tv.app/emote/01EZT9WTYR0002GHH6006GD23G/4x.webp
Thinking2,01EZT9X4Q80002GHH6006GD23H,https://cdn.7tv.app/emote/01EZT9X4Q80002GHH6006GD23H/4x.webp
nezinau,01J8NH23GR000A5QBDAQ50Z87R,https://cdn.7tv.app/emote/01J8NH23GR000A5QBDAQ50Z87R/4x.webp
hehe,01GXBG1T2G0008XKV2S1V2BR5E,https://cdn.7tv.app/emote/01GXBG1T2G0008XKV2S1V2BR5E/4x.webp
aga,01HMBMJPV0000D32KQCYBK4S1D,https://cdn.7tv.app/emote/01HMBMJPV0000D32KQCYBK4S1D/4x.webp
Skirmantas,01J9YBWG00000124YQG75TYR4R,https://cdn.7tv.app/emote/01J9YBWG00000124YQG75TYR4R/4x.webp
Clap,01F6NE9AER000CKKT9BSDYGT0J,https://cdn.7tv.app/emote/01F6NE9AER000CKKT9BSDYGT0J/4x.webp
forsenLithuania,01J43XT0AG000FEMV6VS56MG0T,https://cdn.7tv.app/emote/01J43XT0AG000FEMV6VS56MG0T/4x.webp
LithuanianLife,01HF2XQ2A800030WBP0NCZ0XMK,https://cdn.7tv.app/emote/01HF2XQ2A800030WBP0NCZ0XMK/4x.webp
lithuaniaKisser,01HF5643TG00030WBP0NCZ18SK,https://cdn.7tv.app/emote/01HF5643TG00030WBP0NCZ18SK/4x.webp
cuh,01H970FHJR0005TVKVAZ4M74AA,https://cdn.7tv.app/emote/01H970FHJR0005TVKVAZ4M74AA/4x.webp
test,01J5RBF26G0004CHE4PEAWN63K,https://cdn.7tv.app/emote/01J5RBF26G0004CHE4PEAWN63K/4x.webp
FirstTimeTest,01J926TKDR000A5QBDAQ5108N8,https://cdn.7tv.app/emote/01J926TKDR000A5QBDAQ5108N8/4x.webp
FirstTimeChatter,01HCT0SN4G00028NJW3M73H7NW,https://cdn.7tv.app/emote/01HCT0SN4G00028NJW3M73H7NW/4x.webp
demikoL,01JABBGY880002EW8R25YEHJXT,https://cdn.7tv.app/emote/01JABBGY880002EW8R25YEHJXT/4x.webp
StoryTime,01FYGNB8AG0005NQQFR8W3ZHGF,https://cdn.7tv.app/emote/01FYGNB8AG0005NQQFR8W3ZHGF/4x.webp
D:,01GM78BAGR0001WBT5AMQY9YG3,https://cdn.7tv.app/emote/01GM78BAGR0001WBT5AMQY9YG3/4x.webp
KAAAA,01GRTJJCTG0004RVBCVMBM56G8,https://cdn.7tv.app/emote/01GRTJJCTG0004RVBCVMBM56G8/4x.webp
ate,01HDPKA22G0003DSKWRRPR1DC1,https://cdn.7tv.app/emote/01HDPKA22G0003DSKWRRPR1DC1/4x.webp
sniffthenewchatter,01HD2KMKKR000506K0FGX9BY9C,https://cdn.7tv.app/emote/01HD2KMKKR000506K0FGX9BY9C/4x.webp
MODS,01F6N24VSG0004P7N4A9PZCA86,https://cdn.7tv.app/emote/01F6N24VSG0004P7N4A9PZCA86/4x.webp
Plotge,01FY7MJN3G000FWWXFD46PAVNC,https://cdn.7tv.app/emote/01FY7MJN3G000FWWXFD46PAVNC/4x.webp
RIPBOZO,01FZEJ1FK8000DPFPNZDKV952N,https://cdn.7tv.app/emote/01FZEJ1FK8000DPFPNZDKV952N/4x.webp
o14,01HTFPSGS8000ETDPSQX2Z6T2C,https://cdn.7tv.app/emote/01HTFPSGS8000ETDPSQX2Z6T2C/4x.webp
